,ISIN,Position Date,Aggregated short
122,GB0006640972,2019-04-22 00:00:00,0.46
123,GB0006640972,2019-04-23 00:00:00,0.46
124,GB0006640972,2019-04-24 00:00:00,0.46
125,GB0006640972,2019-04-25 00:00:00,0.46
126,GB0006640972,2019-04-26 00:00:00,0.46
127,GB0006640972,2019-04-29 00:00:00,0.46
128,GB0006640972,2019-04-30 00:00:00,0.46
129,GB0006640972,2019-05-01 00:00:00,0.46
130,GB0006640972,2019-05-02 00:00:00,0.46
131,GB0006640972,2019-05-03 00:00:00,0.46
132,GB0006640972,2019-05-06 00:00:00,0.46
133,GB0006640972,2019-05-07 00:00:00,0.46
134,GB0006640972,2019-05-08 00:00:00,0.46
135,GB0006640972,2019-05-09 00:00:00,0.46
136,GB0006640972,2019-05-10 00:00:00,0.46
137,GB0006640972,2019-05-13 00:00:00,0.46
138,GB0006640972,2019-05-14 00:00:00,0.46
139,GB0006640972,2019-05-15 00:00:00,0.46
140,GB0006640972,2019-05-16 00:00:00,0.46
141,GB0006640972,2019-05-17 00:00:00,0.46
142,GB0006640972,2019-05-20 00:00:00,0.46
143,GB0006640972,2019-05-21 00:00:00,0.46
144,GB0006640972,2019-05-22 00:00:00,0.46
145,GB0006640972,2019-05-23 00:00:00,0.46
146,GB0006640972,2019-05-24 00:00:00,0.46
147,GB0006640972,2019-05-27 00:00:00,0.46
148,GB0006640972,2019-05-28 00:00:00,0.46
149,GB0006640972,2019-05-29 00:00:00,0.46
150,GB0006640972,2019-05-30 00:00:00,0.46
151,GB0006640972,2019-05-31 00:00:00,0.46
152,GB0006640972,2019-06-03 00:00:00,0.46
153,GB0006640972,2019-06-04 00:00:00,0.46
154,GB0006640972,2019-06-05 00:00:00,0.46
155,GB0006640972,2019-06-06 00:00:00,0.46
156,GB0006640972,2019-06-07 00:00:00,0.46
157,GB0006640972,2019-06-10 00:00:00,0.46
158,GB0006640972,2019-06-11 00:00:00,0.46
159,GB0006640972,2019-06-12 00:00:00,0.46
160,GB0006640972,2019-06-13 00:00:00,0.46
161,GB0006640972,2019-06-14 00:00:00,0.46
162,GB0006640972,2019-06-17 00:00:00,0.46
163,GB0006640972,2019-06-18 00:00:00,0.46
164,GB0006640972,2019-06-19 00:00:00,0.46
165,GB0006640972,2019-06-20 00:00:00,0.46
166,GB0006640972,2019-06-21 00:00:00,0.46
167,GB0006640972,2019-06-24 00:00:00,0.46
168,GB0006640972,2019-06-25 00:00:00,0.46
169,GB0006640972,2019-06-26 00:00:00,0.46
170,GB0006640972,2019-06-27 00:00:00,0.46
171,GB0006640972,2019-06-28 00:00:00,0.46
172,GB0006640972,2019-07-01 00:00:00,0.46
173,GB0006640972,2019-07-02 00:00:00,0.46
174,GB0006640972,2019-07-03 00:00:00,0.46
175,GB0006640972,2019-07-04 00:00:00,0.46
176,GB0006640972,2019-07-05 00:00:00,0.46
177,GB0006640972,2019-07-08 00:00:00,0.46
178,GB0006640972,2019-07-09 00:00:00,0.46
179,GB0006640972,2019-07-10 00:00:00,0.46
180,GB0006640972,2019-07-11 00:00:00,0.46
181,GB0006640972,2019-07-12 00:00:00,0.46
182,GB0006640972,2019-07-15 00:00:00,0.46
183,GB0006640972,2019-07-16 00:00:00,0.46
184,GB0006640972,2019-07-17 00:00:00,0.46
185,GB0006640972,2019-07-18 00:00:00,0.46
186,GB0006640972,2019-07-19 00:00:00,0.46
187,GB0006640972,2019-07-22 00:00:00,0.46
188,GB0006640972,2019-07-23 00:00:00,0.46
189,GB0006640972,2019-07-24 00:00:00,0.46
190,GB0006640972,2019-07-25 00:00:00,0.46
191,GB0006640972,2019-07-26 00:00:00,0.46
192,GB0006640972,2019-07-29 00:00:00,0.46
193,GB0006640972,2019-07-30 00:00:00,0.46
194,GB0006640972,2019-07-31 00:00:00,0.46
195,GB0006640972,2019-08-01 00:00:00,0.46
196,GB0006640972,2019-08-02 00:00:00,0.46
197,GB0006640972,2019-08-05 00:00:00,0.46
198,GB0006640972,2019-08-06 00:00:00,0.46
199,GB0006640972,2019-08-07 00:00:00,0.46
200,GB0006640972,2019-08-08 00:00:00,0.46
201,GB0006640972,2019-08-09 00:00:00,0.46
202,GB0006640972,2019-08-12 00:00:00,0.46
203,GB0006640972,2019-08-13 00:00:00,0.46
204,GB0006640972,2019-08-14 00:00:00,0.46
205,GB0006640972,2019-08-15 00:00:00,0.46
206,GB0006640972,2019-08-16 00:00:00,0.46
207,GB0006640972,2019-08-19 00:00:00,0.46
208,GB0006640972,2019-08-20 00:00:00,0.46
209,GB0006640972,2019-08-21 00:00:00,0.46
210,GB0006640972,2019-08-22 00:00:00,0.46
211,GB0006640972,2019-08-23 00:00:00,0.46
212,GB0006640972,2019-08-26 00:00:00,0.46
213,GB0006640972,2019-08-27 00:00:00,0.46
214,GB0006640972,2019-08-28 00:00:00,0.46
215,GB0006640972,2019-08-29 00:00:00,0.46
216,GB0006640972,2019-08-30 00:00:00,0.46
217,GB0006640972,2019-09-02 00:00:00,0.46
218,GB0006640972,2019-09-03 00:00:00,0.46
219,GB0006640972,2019-09-04 00:00:00,0.46
220,GB0006640972,2019-09-05 00:00:00,0.46
221,GB0006640972,2019-09-06 00:00:00,0.46
222,GB0006640972,2019-09-09 00:00:00,0.46
223,GB0006640972,2019-09-10 00:00:00,0.46
224,GB0006640972,2019-09-11 00:00:00,0.46
225,GB0006640972,2019-09-12 00:00:00,0.46
226,GB0006640972,2019-09-13 00:00:00,0.46
227,GB0006640972,2019-09-16 00:00:00,0.46
228,GB0006640972,2019-09-17 00:00:00,0.46
229,GB0006640972,2019-09-18 00:00:00,0.46
230,GB0006640972,2019-09-19 00:00:00,0.46
231,GB0006640972,2019-09-20 00:00:00,0.46
232,GB0006640972,2019-09-23 00:00:00,0.46
233,GB0006640972,2019-09-24 00:00:00,0.46
234,GB0006640972,2019-09-25 00:00:00,0.46
235,GB0006640972,2019-09-26 00:00:00,0.46
236,GB0006640972,2019-09-27 00:00:00,0.46
237,GB0006640972,2019-09-30 00:00:00,0.46
238,GB0006640972,2019-10-01 00:00:00,0.46
239,GB0006640972,2019-10-02 00:00:00,0.46
240,GB0006640972,2019-10-03 00:00:00,0.46
241,GB0006640972,2019-10-04 00:00:00,0.46
242,GB0006640972,2019-10-07 00:00:00,0.46
243,GB0006640972,2019-10-08 00:00:00,0.46
244,GB0006640972,2019-10-09 00:00:00,0.46
245,GB0006640972,2019-10-10 00:00:00,0.46
246,GB0006640972,2019-10-11 00:00:00,0.46
247,GB0006640972,2019-10-14 00:00:00,0.46
248,GB0006640972,2019-10-15 00:00:00,0.46
249,GB0006640972,2019-10-16 00:00:00,0.46
250,GB0006640972,2019-10-17 00:00:00,0.46
251,GB0006640972,2019-10-18 00:00:00,0.46
252,GB0006640972,2019-10-21 00:00:00,0.46
253,GB0006640972,2019-10-22 00:00:00,0.46
254,GB0006640972,2019-10-23 00:00:00,0.46
255,GB0006640972,2019-10-24 00:00:00,0.46
256,GB0006640972,2019-10-25 00:00:00,0.46
257,GB0006640972,2019-10-28 00:00:00,0.46
258,GB0006640972,2019-10-29 00:00:00,0.46
259,GB0006640972,2019-10-30 00:00:00,0.46
260,GB0006640972,2019-10-31 00:00:00,0.46
261,GB0006640972,2019-11-01 00:00:00,0.46
262,GB0006640972,2019-11-04 00:00:00,0.46
263,GB0006640972,2019-11-05 00:00:00,0.46
264,GB0006640972,2019-11-06 00:00:00,0.46
265,GB0006640972,2019-11-07 00:00:00,0.46
266,GB0006640972,2019-11-08 00:00:00,0.46
267,GB0006640972,2019-11-11 00:00:00,0.46
268,GB0006640972,2019-11-12 00:00:00,0.46
269,GB0006640972,2019-11-13 00:00:00,0.46
270,GB0006640972,2019-11-14 00:00:00,0.46
271,GB0006640972,2019-11-15 00:00:00,0.46
272,GB0006640972,2019-11-18 00:00:00,0.46
273,GB0006640972,2019-11-19 00:00:00,0.46
274,GB0006640972,2019-11-20 00:00:00,0.46
275,GB0006640972,2019-11-21 00:00:00,0.46
276,GB0006640972,2019-11-22 00:00:00,0.46
277,GB0006640972,2019-11-25 00:00:00,0.46
278,GB0006640972,2019-11-26 00:00:00,0.46
279,GB0006640972,2019-11-27 00:00:00,0.46
280,GB0006640972,2019-11-28 00:00:00,0.46
281,GB0006640972,2019-11-29 00:00:00,0.46
282,GB0006640972,2019-12-02 00:00:00,0.46
283,GB0006640972,2019-12-03 00:00:00,0.46
284,GB0006640972,2019-12-04 00:00:00,0.46
285,GB0006640972,2019-12-05 00:00:00,0.46
286,GB0006640972,2019-12-06 00:00:00,0.46
287,GB0006640972,2019-12-09 00:00:00,0.46
288,GB0006640972,2019-12-10 00:00:00,0.46
289,GB0006640972,2019-12-11 00:00:00,0.46
290,GB0006640972,2019-12-12 00:00:00,0.46
291,GB0006640972,2019-12-13 00:00:00,0.46
292,GB0006640972,2019-12-16 00:00:00,0.46
293,GB0006640972,2019-12-17 00:00:00,0.46
294,GB0006640972,2019-12-18 00:00:00,0.46
295,GB0006640972,2019-12-19 00:00:00,0.46
296,GB0006640972,2019-12-20 00:00:00,0.46
297,GB0006640972,2019-12-23 00:00:00,0.46
298,GB0006640972,2019-12-24 00:00:00,0.46
299,GB0006640972,2019-12-25 00:00:00,0.46
300,GB0006640972,2019-12-26 00:00:00,0.46
301,GB0006640972,2019-12-27 00:00:00,0.46
302,GB0006640972,2019-12-30 00:00:00,0.46
303,GB0006640972,2019-12-31 00:00:00,0.46
304,GB0006640972,2020-01-01 00:00:00,0.46
305,GB0006640972,2020-01-02 00:00:00,0.46
306,GB0006640972,2020-01-03 00:00:00,0.46
307,GB0006640972,2020-01-06 00:00:00,0.46
308,GB0006640972,2020-01-07 00:00:00,0.46
309,GB0006640972,2020-01-08 00:00:00,0.46
310,GB0006640972,2020-01-09 00:00:00,0.46
311,GB0006640972,2020-01-10 00:00:00,0.46
312,GB0006640972,2020-01-13 00:00:00,0.46
313,GB0006640972,2020-01-14 00:00:00,0.46
314,GB0006640972,2020-01-15 00:00:00,0.46
315,GB0006640972,2020-01-16 00:00:00,0.46
316,GB0006640972,2020-01-17 00:00:00,0.46
317,GB0006640972,2020-01-20 00:00:00,0.46
318,GB0006640972,2020-01-21 00:00:00,0.46
319,GB0006640972,2020-01-22 00:00:00,0.46
320,GB0006640972,2020-01-23 00:00:00,0.46
321,GB0006640972,2020-01-24 00:00:00,0.46
322,GB0006640972,2020-01-27 00:00:00,0.46
323,GB0006640972,2020-01-28 00:00:00,0.46
324,GB0006640972,2020-01-29 00:00:00,0.46
325,GB0006640972,2020-01-30 00:00:00,0.46
326,GB0006640972,2020-01-31 00:00:00,0.46
327,GB0006640972,2020-02-03 00:00:00,0.46
