,ISIN,Position Date,Aggregated short
93,GB00BJL5BR07,2021-12-29 00:00:00,0.5
94,GB00BJL5BR07,2021-12-30 00:00:00,0.5
95,GB00BJL5BR07,2021-12-31 00:00:00,0.5
96,GB00BJL5BR07,2022-01-03 00:00:00,0.5
97,GB00BJL5BR07,2022-01-04 00:00:00,0.5
98,GB00BJL5BR07,2022-01-05 00:00:00,0.5
99,GB00BJL5BR07,2022-01-06 00:00:00,0.5
100,GB00BJL5BR07,2022-01-07 00:00:00,0.5
101,GB00BJL5BR07,2022-01-10 00:00:00,0.5
102,GB00BJL5BR07,2022-01-11 00:00:00,0.5
103,GB00BJL5BR07,2022-01-12 00:00:00,0.49
104,GB00BJL5BR07,2022-01-13 00:00:00,0.49
105,GB00BJL5BR07,2022-01-14 00:00:00,0.49
106,GB00BJL5BR07,2022-01-17 00:00:00,0.49
107,GB00BJL5BR07,2022-01-18 00:00:00,0.49
108,GB00BJL5BR07,2022-01-19 00:00:00,0.49
109,GB00BJL5BR07,2022-01-20 00:00:00,0.49
110,GB00BJL5BR07,2022-01-21 00:00:00,0.49
111,GB00BJL5BR07,2022-01-24 00:00:00,0.5
112,GB00BJL5BR07,2022-01-25 00:00:00,0.5
113,GB00BJL5BR07,2022-01-26 00:00:00,0.5
114,GB00BJL5BR07,2022-01-27 00:00:00,0.5
115,GB00BJL5BR07,2022-01-28 00:00:00,0.5
116,GB00BJL5BR07,2022-01-31 00:00:00,0.5
117,GB00BJL5BR07,2022-02-01 00:00:00,0.5
118,GB00BJL5BR07,2022-02-02 00:00:00,0.5
119,GB00BJL5BR07,2022-02-03 00:00:00,0.5
120,GB00BJL5BR07,2022-02-04 00:00:00,0.5
121,GB00BJL5BR07,2022-02-07 00:00:00,0.5
122,GB00BJL5BR07,2022-02-08 00:00:00,0.5
123,GB00BJL5BR07,2022-02-09 00:00:00,0.5
124,GB00BJL5BR07,2022-02-10 00:00:00,0.5
125,GB00BJL5BR07,2022-02-11 00:00:00,0.5
126,GB00BJL5BR07,2022-02-14 00:00:00,0.5
127,GB00BJL5BR07,2022-02-15 00:00:00,0.5
128,GB00BJL5BR07,2022-02-16 00:00:00,0.5
129,GB00BJL5BR07,2022-02-17 00:00:00,0.5
130,GB00BJL5BR07,2022-02-18 00:00:00,0.5
131,GB00BJL5BR07,2022-02-21 00:00:00,0.5
132,GB00BJL5BR07,2022-02-22 00:00:00,0.5
133,GB00BJL5BR07,2022-02-23 00:00:00,0.5
134,GB00BJL5BR07,2022-02-24 00:00:00,0.5
135,GB00BJL5BR07,2022-02-25 00:00:00,0.5
136,GB00BJL5BR07,2022-02-28 00:00:00,0.5
137,GB00BJL5BR07,2022-03-01 00:00:00,0.5
138,GB00BJL5BR07,2022-03-02 00:00:00,0.5
139,GB00BJL5BR07,2022-03-03 00:00:00,0.5
140,GB00BJL5BR07,2022-03-04 00:00:00,0.5
141,GB00BJL5BR07,2022-03-07 00:00:00,0.5
142,GB00BJL5BR07,2022-03-08 00:00:00,0.5
143,GB00BJL5BR07,2022-03-09 00:00:00,0.5
144,GB00BJL5BR07,2022-03-10 00:00:00,0.5
145,GB00BJL5BR07,2022-03-11 00:00:00,0.5
146,GB00BJL5BR07,2022-03-14 00:00:00,0.5
147,GB00BJL5BR07,2022-03-15 00:00:00,0.5
148,GB00BJL5BR07,2022-03-16 00:00:00,0.5
149,GB00BJL5BR07,2022-03-17 00:00:00,0.5
150,GB00BJL5BR07,2022-03-18 00:00:00,0.44
